gp_id,gp_name,lang_name
679,Anagod,ಆನಗೋಡ
680,Anagodu,ಆನಗೋಡು
681,Anahosur,ಹೊಸೂರ
682,Anaji,ಅಣಜಿ
683,Anajigere,ಅಣಜಿಗೆರೆ
684,Analebaila,ಆಣಲೆಬ್ಯೆಲ
685,Anandapura,ಆನಂದಪುರ
686,Ananduru,ಆನಂದುರು
687,Anantapur,ಅನಂತಪೂರ
688,Anantawadi,ಆಡಿ
689,Ananthady,ಅನಂತಾಡಿ
690,Anapur,ಅನಪೂರ
691,Anashi,ಆಣಶಿ
692,Anathi,ಅಣತಿ
693,Anavatti,ಆನವಟ್ಟಿ
694,Anaveri,ಆನವೇರಿ
695,Anawal,ಅನವಾಲ
696,Anchatageri,ಅಂಚಟಗೇರಿ
697,Anchechittana hally,ಚಿಟ್ಟಾ
698,Andagadudooru,ಅಂಡಗದೂದೂರು
699,Andagi,ಅಂಡಗಿ
700,Andale,ವಂದಾಲ
701,Andalgi,ಅಂದಲಗಿ
702,Andanuru,ಅಂದನೂರು
703,Andige,ಅಂಡಿಗೆ
704,Andinje,ಅಂಡಿಂಜೆ
705,Andola 10,ನಂ.10 ಮುದ್ದಾಪುರ
706,Andoor,ಆನೂರ
707,Anegere,ಆಣೇಗೆರೆ
708,Anegola,ಆನೆಗೊಳ
709,Anegundi,ಆನೇಗುಂದಿ
710,Anekal town,ಆನೇಕಲ್ ನಗರ
711,Anekannambadi,ಆನೇಕನ್ನಂಬಾಡಿ
712,Anekere,ಆನೇಕೆರೆ
713,Anemahal,ಆನೇಮಹಲ್
714,Angarekanahalli,ಅಂಗರೇಕನ ಹಳ್ಳಿ
715,Angondahalli,ಅಂಗೊಂಡಹಳ್ಳಿ
716,Anigal,ಐಗಳಿ
717,Anivala,ಆನಿವಾಳ
718,Anjutagi,ಅಂಜುಟಗಿ
719,Ankalagi,ಅಂಕಲಗಿ
720,Ankale,ಅಂಕಲಿ
720,Ankale,ಅಂಕಲಿ
721,Ankalga 40,ಅಂಕಲಗಾ
722,Ankalgi,ಅಂಕಲಗಿ
723,Ankali,ಅಂಕಲಿ
724,Ankana halli,ಅಂಕನಹಳ್ಳಿ
725,Ankanahalli,ಅಂಕನಹಳ್ಳಿ
726,Ankapura,ಅಂಕಪುರ
727,Ankasandra,ಅಂಕಸಂದ್ರ
728,Ankola town,ಅಂಕೋಲಾ ನಗರ
729,Ankshadoddi,ಅಂಕುಶದೋಡ್ಡಿ
730,Annehal,ಅನ್ನೇಹಾಳ್
731,Anneshwara,ಅಣ್ಣೇಶ್ವರ
