gpid,designation,name
4518,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಮಡಿವಾಳಪ್ಪ ರಾಮಗೊಂಡ 
4518,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ಭ್ರಮರ 
4518,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಲಾವಣ್ಯ. ಆರ್
4518,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಸಂಜಯ್. ಆರ್
4700,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಅನುಸೂಯಮ್ಮ 
4700,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಅಶ್ವಥ್ ನಾರಾಯಣಸ್ವಾಮಿ.ಆರ್ 
4700,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ಸೀತರಾಮ.ಕೆ 
4700,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ವೆಂಕಟೇಶ
4700,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಅಶೋಕ
4442,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಮಂಜುಳಮ್ಮ. ಕೆ 
4442,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಅಶ್ವಥ್ ನಾರಾಯಣಸ್ವಾಮಿ.ಆರ್ 
4442,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ನಾರಾಯಣ.ಎಸ್ 
4442,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಗಿರೀಶ. ಎಂ.ವಿ
4442,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಪ್ರವೀಣ್. ಎಂ.ವಿ
2624,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಟಿ. ವಿ. ವೀರಭದ್ರಯ್ಯ 
2624,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಟಿ. ವಿ. ವೀರಭದ್ರಯ್ಯ 
2624,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ಲಕ್ಷ್ಮೀಪತಿ. ವೈ 
2624,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಮುನಿರಾಜು
