SCHCD|LatitudeDeg|LatitudeMin|LatitudeSec|LongitudeDeg|LongitudeMin|LongitudeSec
1060301401|34|70|85|75|13|44
1060301402|34|70|85|75|13|44
1060301405|34|70|85|75|13|44
1060301406||||||
1060301407|34|69|85|75|12|44
1060301408|34|67|47|75|13|76
1060301501|34|73|75|75|13|10
1060301601||||||
1060301602|34|73|78|75|13|77
1060301604|34|72|22|75|13|28
1060301605|34|70|77|75|11|78
1060301701|34|72|84|75|12|99
1060301702|34|73|89|75|12|99
1060301703||||||
1060301801|34|72|40|75|11|68
1060301803|34|20|40|74|32|68
1060301901|34|70|59|75|13|57
1060301903|34|70|59|75|13|57
1060302001|34|74|56|75|15|31
1060302002|34|74|56|75|15|31
1060302003|34|75|81|75|18|25
1060302004|34|75|81|75|18|25
1060302101|34|71|30|75|15|98
1060302105|34|71|30|75|15|98
1060302201|34|72|45|75|15|60
1060302202|34|72|45|75|15|60
1060302203|34|72|45|75|15|60
1060302204|34|72|45|75|15|60
1060302401|34|72|33|75|85|75
1060302601||||||
1060302605|34|72|25|75|85|93
1060302606|34|73|25|75|85|93
1060302607|34|72|45|75|15|60
1060302801|34|73|46|75|16|53
1060302803|34|81|30|75|77|97
1060302804|34|73|52|75|14|42
1060302901|34|75|73|75|20|93
1060302902|34|74|95|75|18|30
1060302903|34|75|73|75|20|93
1060303001|34|73|46|75|16|53
1060303104|34|73|30|75|14|97
1060303107|33|72|64|75|16|75
1060303108|34|73|52|75|14|42
1060303201|34|74|43|75|16|21
1060303202|34|74|43|75|16|21
1060303401|34|73|75|75|14|24
1060303601|34|73|31|75|16|82
1060303607|34|59|32|75|16|52
1060303801||||||
1060303802|34|74|75|75|12|10
1060303803|34|71|69|75|15|46
1060303901|34|73|75|75|13|10
1060304001|34|73|75|75|13|10
1060304002|34|73|75|75|13|10
1060304101|33|59|33|75|8|28
1060304102|34|72|22|75|13|28
1060304103|34|72|37|75|13|25
1060304104|34|72|39|75|14|25
1060304201|33|44|50|75|7|11
1060304202|34|73|22|75|13|28
1060304204|33|74|85|75|12|93
1060304206|37|75|27|75|9|33
1060304301|34|75|80|75|8|50
1060304401|34|74|71|75|10|71
1060304402|34|74|71|75|10|71
1060304501|34|75|27|75|9|33
1060304601|34|73|80|75|11|50
1060304602|34|73|80|75|12|17
1060304604|34|73|79|75|11|36
1060304701|34|75|29|75|8|15
1060304801|34|72|17|75|10|70
1060304901|33|71|13|75|0|99
1060304902|34|71|13|75|0|99
1060305001|34|69|10|75|10|36
1060305101|34|67|78|75|12|24
1060305102|34|67|78|75|12|24
1060305103|34|67|78|75|12|24
1060305105|34|69|72|75|12|24
1060305201|34|71|77|75|9|35
1060305202|34|72|39|75|10|38
1060305203|34|72|96|75|10|85
1060305205|34|73|25|75|10|34
1060305207|34|73|39|75|10|38
1060305208|34|72|41|75|8|43
1060305302|34|76|42|75|6|66
1060305303|34|75|42|75|8|66
1060305401|34|75|80|75|8|17
1060305501|34|72|96|75|10|85
1060305502|34|72|96|75|10|85
1060305601|34|70|36|75|10|75
1060400101|33|38|59|75|19|33
1060400102|33|39|11|75|19|24
1060400103|33|38|43|75|20|20
1060400105|33|38|55|75|19|31
1060400201|33|37|53|75|18|51
1060400202|33|38|58|75|18|46
1060400203|33|38|29|75|18|43
1060400204|33|37|54|75|18|56
1060400205|33|38|28|75|18|43
1060400301|33|38|33|75|19|25
1060400401|33|38|41|75|17|55
1060400501|33|37|2|75|18|24
1060400502||||||
1060400601|33|37|24|75|17|54
1060400701|33|37|3|75|19|33
1060400702|33|37|3|75|19|33
1060400801|33|36|58|75|18|31
1060400802|33|37|4|75|18|43
1060400901|33|38|13|75|19|48
1060401001|33|37|14|75|19|33
1060401101|33|37|2|75|15|35
1060401102|33|37|2|75|15|35
1060401104|33|36|50|75|15|20
1060401105|33|35|55|75|12|3
1060401106|33|36|50|75|15|20
1060401107|33|36|42|75|14|23
1060401109|33|37|2|75|15|35
1060401201||||||
1060401301|33|37|46|75|13|56
1060401302|33|37|46|75|13|56
1060401303|33|37|46|75|13|56
1060401307|33|37|46|75|13|56
1060401401|33|36|50|75|15|20
1060401402|33|37|22|75|13|57
1060401501|33|37|1|75|14|23
1060401601|33|37|1|75|14|23
1060401602|33|37|1|75|14|23
1060401701|33|37|1|75|14|23
1060401702|33|37|2|75|14|59
1060401801|33|34|51|75|18|41
1060401802|33|34|56|75|18|41
1060401805|33|34|33|75|19|17
1060401901|33|34|51|75|19|26
1060401902|33|34|51|75|19|26
1060402001|33|35|43|75|20|16
1060402002|33|35|47|75|20|13
1060402003|33|35|29|75|19|50
1060402004|33|35|32|75|19|52
1060402101||||||
1060402102|33|34|56|75|18|41
1060402105|33|34|56|75|18|41
1060402201|33|35|20|75|16|44
1060402202|33|33|56|75|16|13
1060402203|33|34|57|75|16|32
1060402204|33|35|24|75|16|24
1060402205|33|35|18|75|16|54
1060402206|33|35|50|75|16|53
1060402301|33|35|36|75|16|19
1060402401|33|35|21|75|16|29
1060402501|33|35|0|75|16|27
1060402503|33|33|57|75|16|19
1060402504|33|34|46|75|16|26
1060402601|33|34|5|75|16|29
1060402701|33|33|51|75|16|33
1060402801|33|36|19|75|17|4
1060402802|33|36|23|75|17|20
1060402804|33|35|56|75|17|28
1060402805||||||
1060402901|33|36|13|75|18|2
1060403003|33|36|41|75|17|45
1060403004|33|36|52|75|18|14
1060403005|33|36|57|75|18|20
1060403006|33|36|51|75|17|58
1060403007|33|36|44|75|17|56
1060403008|33|36|49|75|17|51
1060403009|33|36|37|75|17|50
1060403010|33|36|54|75|18|2
1060403012|33|36|43|75|17|47
1060403013|33|36|39|75|18|6
1060403103|33|36|41|75|15|55
1060403104|33|36|39|75|15|57
1060403105|33|36|35|75|15|55
1060403106|33|36|42|75|15|32
1060403109|33|36|44|75|15|49
1060403110|33|37|2|75|15|35
1060403111|33|36|50|75|15|20
1060403114|33|36|37|75|15|27
1060403201|33|37|54|75|15|18
1060403301|33|35|51|75|16|7
1060403401|33|36|36|75|16|15
1060403501|33|36|14|75|15|44
1060403502|33|36|5|75|15|54
1060403601|33|36|24|75|14|53
1060403602|33|36|8|75|15|9
1060403701|33|35|42|75|15|33
1060403801|33|35|36|75|15|32
1060403901|33|58|0|75|80|0
1060403902|33|34|21|75|20|11
1060403903|33|34|20|75|20|9
1060403904|33|34|24|75|20|3
1060403905|33|34|23|75|20|11
1060403907|33|34|25|75|20|14
1060403908|33|34|52|75|19|23
1060403910|33|34|10|75|20|10
1060403911|33|34|41|75|20|6
1060403912|33|34|14|75|20|20
1060403914|33|34|37|75|20|3
1060404001|33|34|15|75|20|14
1060404101|33|34|11|75|20|8
1060404102|33|33|46|75|19|58
1060404103|33|34|4|75|16|24
1060404104|33|33|26|75|20|1
1060404105|33|26|40|75|20|4
1060404106|33|33|33|75|20|8
1060404107|33|33|30|75|20|4
1060404108|33|33|22|75|20|1
1060404109||||||
1060404201|33|34|15|75|20|33
1060404202|33|33|46|75|20|11
1060404203|33|34|3|75|20|51
1060404301|33|33|58|75|20|48
1060404302|33|34|2|75|20|51
1060404303|33|34|2|75|20|39
1060404304|33|34|1|75|20|12
1060404305|33|33|57|75|20|48
1060404306|33|33|54|75|20|47
1060404401|33|36|42|75|14|23
1060404501|33|34|25|75|19|59
1060404601|33|36|36|75|16|15
1060404701|33|36|2|75|16|41
1060404801|33|35|49|75|16|59
1060404901|33|35|33|75|17|4
1060404902|33|36|50|75|17|1
1060404903||||||
1060404908|33|35|24|75|17|42
1060405004|33|35|12|75|18|8
1060405005|33|35|12|75|17|57
1060405006|33|35|12|75|18|8
1060405007|33|34|56|75|18|41
1060405101|33|35|24|75|17|41
1060405104|33|35|18|75|17|54
1060500101|33|51|34|75|6|1
1060500102|33|51|29|75|5|35
1060500201|33|49|56|75|5|12
1060500202|33|49|54|75|5|11
1060500203|33|50|0|75|5|18
1060500204|33|47|12|75|5|58
1060500206|33|5|51|75|5|37
1060500207|33|49|57|75|5|23
1060500209|33|49|54|75|5|11
1060500210|33|49|57|75|3|23
1060500211|33|49|53|75|4|25
1060500301|33|49|53|75|4|25
1060500401|33|49|33|75|5|34
1060500501||||||
1060500502|33|51|5|75|4|28
1060500601|33|51|6|75|4|34
1060500701|33|51|27|75|5|8
1060500802|33|50|27|75|3|46
1060500901|33|50|52|75|3|40
1060501001|33|51|12|75|2|51
1060501101|33|48|39|75|7|51
1060501102|33|48|39|75|7|51
1060501104|33|48|39|75|7|51
1060501105|33|48|39|75|7|51
1060501201|33|49|59|75|8|12
1060501301|33|48|59|75|6|33
1060501302|33|48|59|75|6|33
1060501401|33|47|56|75|6|43
1060501402|33|47|56|75|6|43
1060501501|33|47|42|75|6|30
1060501601|33|47|20|75|7|14
1060501602|33|47|20|75|7|14
1060501701|33|47|38|75|7|38
1060501703|33|47|38|75|7|38
1060501801|33|47|21|75|4|31
1060501802|33|47|21|75|4|31
1060501803|33|47|22|75|4|32
1060501804|33|47|21|75|4|31
1060501805|33|47|20|75|4|30
1060501901|33|46|26|75|4|32
1060501903|33|46|26|75|4|32
1060502001|33|47|2|75|6|16
1060502101|33|47|55|75|5|9
1060502201|33|47|21|75|4|31
1060502202|33|46|19|75|8|31
1060502203|33|46|19|75|8|31
1060502204|33|46|19|75|8|31
1060502206|33|46|55|75|7|47
1060502207|33|46|20|75|8|31
1060502301|33|47|0|75|8|28
1060502302|33|47|0|75|8|28
1060502303|33|45|59|75|8|54
1060502401|33|47|15|75|6|33
1060502501|33|47|13|75|6|62
1060502601|33|46|33|75|8|31
1060502701|33|46|33|75|8|31
1060502801|33|46|55|75|7|47
1060502901|33|45|28|75|8|26
1060503001|33|45|20|75|8|30
1060503101|33|47|28|75|9|42
1060503102|33|74|28|75|9|42
1060503104|33|73||75|16|
1060503106|33|47|28|75|9|42
1060503107|33|47|49|75|8|29
1060503108|33|74|28|75|9|42
1060503109|33|47|28|75|9|42
1060503201|33|47|17|75|8|8
1060503301|33|47|29|75|8|42
1060503302|33|47|29|75|8|42
1060503303|33|47|29|75|8|42
1060503401|33|47|25|75|10|15
1060503402|33|47|25|75|10|15
1060503403|33|47|25|75|10|15
1060503501|33|48|2|75|9|55
1060503502|33|48|2|75|9|55
1060503601|33|48|17|75|9|31
1060503602|33|49|17|75|9|32
1060503603|33|49|17|75|9|32
1060503701|33|48|39|75|10|73
1060503702|33|48|39|75|10|73
1060503801|33|48|43|75|11|55
1060503803|33|48|43|75|11|55
1060503901|33|48|39|75|10|16
1060503902|33|48|39|75|10|16
1060503904|33|48|39|75|10|16
1060504001|33|49|30|75|6|1
1060504002|33|49|30|75|6|1
1060504004|33|49|30|75|6|2
1060504101|33|49|11|75|6|36
1060504201|33|48|21|75|6|30
1060504202|33|48|21|75|6|30
1060504301|33|46|47|75|4|6
1060504302|33|46|47|75|4|6
1060504304|33|46|47|75|4|6
1060504306|33|48|52|75|2|47
1060504401|33|48|51|75|2|47
1060504501|33|46|56|75|3|56
1060504502|33|46|56|75|3|56
1060504504|33|46|56|75|3|56
1060504505|33|47|43|75|3|55
1060504601|33|47|15|75|3|51
1060504602|33|47|15|75|3|51
1060504603|33|47|43|75|3|53
1060504606|33|47|12|75|3|56
1060504701|33|47|43|75|3|53
1060504801|39|49|23|75|4|0
1060504803|33|47|20|75|3|30
1060504901|33|48|58|75|4|41
1060505001|33|47|42|75|3|54
1060505002|33|48|48|75|4|52
1060505101|33|47|28|75|6|13
1060505201|33|48|33|75|5|10
1060505202|33|48|33|75|5|10
1060505203|33|48|48|75|4|51
1060505301|33|47|26|75|6|13
1060505302|33|47|26|75|6|13
1060505401|33|45|24|75|6|32
1060505402|33|47|25|75|6|12
1060505403|33|47|2|75|6|16
1060505501|33|47|20|75|4|30
1060505601|33|47|20|75|5|32
1060505602|33|48|25|75|5|31
1060505801|33|48|33|75|5|11
1060505802|33|48|33|75|5|10
1060505804|33|47|33|75|5|11
1060505901|33|47|15|75|6|33
1060505902|33|47|33|75|5|11
1060506101|33|48|33|75|5|11
1060506103|33|48|33|75|5|11
1060506201|33|47|36|75|6|26
1060506301|33|48|33|75|5|11
1060506401|33|48|33|75|5|12
1060506501|33|47|32|75|5|11
1060506502|33|47|32|75|5|11
1060506504|33|47|33|75|5|12
1060506601|33|49|30|75|6|16
1060800101|33|35|18|75|13|3
1060800102|33|35|18|75|13|3
1060800103|33|35|19|75|13|3
1060800107|33|35|21|75|13|2
1060800108|33|35|8|75|12|41
1060800201|33|33|35|75|13|51
1060800301|33|33|55|75|11|46
1060800302|33|33|53|75|11|14
1060800303|33|33|55|75|11|46
1060800305|33|34|4|75|11|41
1060800401|33|34|8|75|11|21
1060800501|33|34|54|75|12|3
1060800502|33|34|54|75|12|2
1060800602|33|35|56|75|11|45
1060800604|33|35|48|75|11|43
1060800605|33|35|45|75|11|39
1060800701|33|36|31|75|11|18
1060800702|33|36|13|75|11|4
1060800703|33|35|54|75|11|49
1060800704|33|35|45|75|11|36
1060800801|33|36|38|75|14|12
1060800802|33|36|31|75|14|10
1060800803|33|35|1|75|13|27
1060800805|33|36|52|75|14|6
1060800806|33|36|31|75|12|42
1060800901|33|36|60|75|13|52
1060801001|33|37|0|75|13|54
1060801002|33|35|8|75|13|17
1060801101|33|36|51|75|13|29
1060801201|33|36|22|75|12|49
1060801203|33|36|32|75|12|46
1060801301|33|36|34|75|13|18
1060801302|33|36|36|75|13|25
1060801401|6|37|27|75|12|9
1060801402|33|37|23|75|12|8
1060801403|33|37|25|75|12|3
1060801501|33|37|15|75|12|16
1060801502|33|37|15|75|12|14
1060801503|33|37|24|75|12|14
1060801601|33|37|40|75|12|25
1060801602|33|37|41|75|12|25
1060801604|33|38|12|75|12|49
1060801606|33|37|51|75|12|24
1060801609|33|37|33|75|12|33
1060801701|33|37|7|75|12|17
1060801704|33|37|10|75|12|15
1060801801|33|36|29|75|11|21
1060801802|33|37|6|75|11|22
1060801803|33|37|10|75|11|23
1060801901|33|39|0|75|11|49
1060801902|33|39|8|75|11|56
1060801903|33|38|17|75|12|42
1060801904|33|38|17|75|13|41
1060801905|33|39|4|75|11|58
1060801908|33|38|7|75|13|32
1060801910|33|39|4|75|11|58
1060801915|33|38|17|75|13|26
1060801916|33|39|15|75|11|46
1060801917|33|38|57|75|11|35
1060801918|33|39|8|75|11|49
1060802001|33|38|6|75|12|15
1060802003|33|37|53|75|12|31
