SCHCD|LONGITUDE|LATITUDE
21200412101|84.227670|19.544640
21200417901|84.004800|19.574510
21200419101|84.318610|19.501790
21200428901|84.032580|19.605820
21200432405|84.364930|19.458710
21200433401|84.298240|19.519520
21200438901|84.033930|19.412160
21200441501|84.277790|19.414360
21200443001|84.258370|19.412640
21200443703|84.267030|19.389840
21200446301|84.343890|19.438620
21200446402|84.372860|19.398820
21200451401|84.214440|19.521250
21200451501|84.068900|19.556990
21200451601|84.027970|19.379490
21200451701|84.237810|19.492390
21200451801|84.237530|19.470580
21200451901|84.170430|19.374930
21200452001|84.260600|19.457320
21200452101|84.073950|19.478100
21200452201|84.107260|19.626060
21200502002|84.137010|19.068390
21200511002|84.082190|19.119370
21200521901|84.024130|19.278920
21200601504|84.181970|19.047450
21200611001|84.168110|18.928030
21200611501|84.125270|18.953430
21200611901|84.352610|18.886940
21200612401|84.343770|18.911430
21200620202|84.145290|18.956940
21200620801|84.144630|18.975960
21200622702|84.164140|18.956900
21200626301|84.209360|18.940850
21200626401|84.127980|18.987460
21200626501|84.147230|19.026240
21200626601|84.290050|19.024090
21200626701|84.181460|18.976530
21200701801|84.332180|19.085750
21200702201|84.349780|19.059130
21200704101|84.184330|19.247710
21200706401|84.308900|19.266360
21200706901|84.265920|19.214740
21200707902|84.241670|19.230150
21200710502|84.132800|19.150590
21200713501|84.181540|19.197930
21200714202|84.179170|19.165130
21200715001|84.378760|19.284760
21200715701|84.304820|19.176210
21200718901|84.270130|19.218770
21200719601|84.327220|19.213170
21200722403|84.294500|19.140960
21200737001|84.182180|19.234660
21200753701|84.158110|19.289450
21200753801|84.201320|19.255240
21200753901|84.315200|19.242820
21190218301|84.980360|19.652040
21190402607|84.538850|20.088980
21190403505|84.506470|20.068370
21190413001|84.479220|19.982520
21190509102|84.775660|19.862190
21190800402|84.523270|19.618840
21190818203|84.452300|19.532160
21190902601|84.635970|19.284580
21190903202|84.617220|19.278420
21190903801|84.625380|19.311250
21190905303|84.440780|19.207420
21190907403|84.479560|19.204780
21190912201|84.510090|19.328900
21190912303|84.485060|19.319980
