SCHCD|LatitudeDeg|LatitudeMin|LatitudeSec|LongitudeDeg|LongitudeMin|LongitudeSec
21150304401||||||
21150304501||||||
21150304601||||||
21150304701||||||
21150304702||||||
21150304703||||||
21150304801||||||
21150304901||||||
21150304902||||||
21150304903||||||
21150305001||||||
21150305201||||||
21150305202||||||
21150305203||||||
21150305204||||||
21150305501|20|48|12|85|10|20
21150305801||||||
21150305802|85|10|4|20|50|3
21150305803||||||
21150305804||||||
21150305805||||||
21150305901||||||
21150306001||||||
21150306102||||||
21150306201||||||
21150306202||||||
21150306203||||||
21150306204||||||
21150306301||||||
21150306402||||||
21150306403||||||
21150306501||||||
21150306601||||||
21150306701||||||
21150306901||||||
21150307002||||||
21150307003||||||
21150307005||||||
21150307101||||||
21150307201||||||
21150307301||||||
21150307305||||||
21150307306||||||
21150307401||||||
21150307501||||||
21150307601||||||
21150307602||||||
21150307603||||||
21150307604||||||
21150307701||||||
21150307801||||||
21150308001||||||
21150308101||||||
21150308201||||||
21150308302||||||
21150308303|85|10|4|20|50|36
21150308304|85|10|4|20|50|36
21150308305||||||
21150308501||||||
21150308502||||||
21150308503||||||
21150308506||||||
21150308601||||||
21150308801||||||
21150309001||||||
21150309102||||||
21150309103||||||
21150309201||||||
21150309401||||||
21150309701||||||
21150309702||||||
21150309703||||||
21150309704||||||
21150309801||||||
21150309903||||||
21150310001||||||
21150310101||||||
21150310102||||||
21150310201||||||
21150310301||||||
21150310302||||||
21150310401||||||
21150310403||||||
21150310603||||||
21150310701||||||
21150310901||||||
21150311001||||||
21150311002||||||
21150311004||||||
21150311301||||||
21150311401||||||
21150311502||||||
21150311801||||||
21150311901||||||
21150312101||||||
21150312401||||||
21150312402||||||
21150312601||||||
21150312801||||||
21150312902||||||
21150313001||||||
21150313002||||||
21150313102||||||
21150313302||||||
21150313802||||||
21150313901||||||
21150313902||||||
21150314301||||||
21150314302||||||
21150314501||||||
21150314502||||||
21150314503||||||
21150314504||||||
21150314552||||||
21150314701||||||
21150314801||||||
21150314901||||||
21150315302||||||
21150315303||||||
21150315304||||||
21150315305||||||
21150315306||||||
21150315308||||||
21150315601|85|10|4|20|50|26
21150315701||||||
21150315801||||||
21150316202||||||
21150316203||||||
21150316504||||||
21150400101||||||
21150400103||||||
21150400104||||||
21150400105||||||
21150400106||||||
21150400302||||||
21150400303||||||
21150400304||||||
21150400601||||||
21150400701||||||
21150400801||||||
21150400901||||||
21150401202||||||
21150401203||||||
21150401204||||||
21150401301||||||
21150401502||||||
21150401601||||||
21150401701||||||
21150401702||||||
21150401801||||||
21150402002||||||
21150402101||||||
21150402401||||||
21150402501||||||
21150402502||||||
21150402702||||||
21150402802||||||
21150403001||||||
21150403102||||||
21150403202||||||
21150403301||||||
21150403401||||||
21150403501||||||
21150403801||||||
21150403802||||||
21150403803||||||
21150403902||||||
21150404301||||||
21150404501||||||
21150404601||||||
21150404801||||||
21150404901||||||
21150404903||||||
21150404904||||||
21150405101||||||
21150405102||||||
21150405103||||||
21150405104||||||
21150405105||||||
21150405173||||||
21150405201||||||
21150405202||||||
21150405203||||||
21150405601||||||
21150405602||||||
21150405603||||||
21150405701||||||
21150405703||||||
21150405801||||||
21150405901||||||
21150406101||||||
21150406102||||||
21150406401||||||
21150406502||||||
21150406701||||||
21150406801||||||
21150407001|21|14|15|84|93|45
21150407101||||||
21150407201||||||
21150407301||||||
21150407401||||||
21150407402||||||
21150407501||||||
21150407601||||||
21150407901||||||
21150408001||||||
21150408002||||||
21150408003||||||
21150408101||||||
21150408201||||||
21150408401||||||
21150408402||||||
21150408403||||||
21150408501||||||
21150408601||||||
21150408701||||||
21150409001||||||
21150409101||||||
21150409205||||||
21150409401||||||
21150409601||||||
21150409602||||||
21150409701||||||
21150409801||||||
21150410001||||||
21150410101||||||
21150410202||||||
21150410301||||||
21150410303||||||
21150410304||||||
21150410305||||||
21150410306||||||
21150410501||||||
21150410701||||||
21150410802||||||
21150411101||||||
21150411201||||||
21150411301||||||
21150411401||||||
21150411402||||||
21150411601||||||
21150411701||||||
21150411801||||||
21150411802||||||
21150411901||||||
21150412001||||||
21150412101||||||
21150412102|||0|||
21150412103||||||
21150412301|20|9|44|85|58|75
21150412801||||||
21150412802||||||
21150412803||||||
21150412804||||||
21150412901||||||
21150413001||||||
21150413101||||||
21150413301||||||
21150413401||||||
21150413405||||||
21150413701||||||
21150413803||||||
21150413901||||||
21150414001||||||
21150414202||||||
21150414204||||||
21150414205||||||
21150414301||||||
21150414401||||||
21150414501||||||
21150414502||||||
21150414503||||||
21150414602||||||
21150414603||||||
21150414604||||||
21150414801||||||
21150414901||||||
21150415002||||||
21150415201||||||
21150415203||||||
21150415301||||||
21150415401||||||
21150415501||||||
21150415601||||||
21150415602||||||
21150415604||||||
21150415605||||||
21150415607||||||
21150415802||||||
21150415803|0|0|0|0|0|0
21150415901||||||
21150416001||||||
