DIST,PROJ,CIRCLE,SCODE,SNAME,START_DATE,END_DATE, Number of students enrolled(boys), Number of students enrolled(girl), Number of students present(boy), Number of students present(girl), Number of students with special needs(boy), Number of students with special needs(girl), Where is the center functioning, The anganwadi center is in a spacious room (35 sq according to ecce rule)  meaning there is an indoor enclosure, There is an outdoor space for 30 children  with space of 30sq, Anganwadi Centre walls are in good shape, Anganwadi Centre floor is in good shape, Anganwadi Centre roof is in good shape, There is a toilet for children to use, Children are using toilet, Centre has water available in the taps, There is pure drinking water facility, Food to be distributed on that day was covered properly, There is seperate facility for washing hands after meals, There is black board in the center, Learning materials are present in the centre, Anganwadi worker is trained, Activities are conducted using learning material by the anganwadi worker, Children learning value correction is done for 2013-14, Progress in children learning is documented, Bala Vikas Samithi is present, Bala Vikas Samithi meeting is conducted                                                                         
 bangalore, bangalore central, krishnadevaraya,31479, ATHIGUPPE, 2014-08-18, 2015-12-30,13,28,10,8, NA, NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
 bangalore, bangalore central, krishnadevaraya,36457, BAIRAVESHWARA NAGARA, 2014-08-18, 2015-12-30,6,14,6,5, NA, NA,3,1,1,1,1,1,0,0,0,2,1,1,0,1,0,0,0,0,1,1
 bangalore, bangalore central, krishnadevaraya,30353, DODDAMAVALLI (HOSAGUDDADAHALLI 1), 2014-08-18, 2015-12-30,9,16, NA, NA, NA, NA,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
 bangalore, bangalore central, krishnadevaraya,29623, PARVATHI PURAM(HARIDASNAGAR), 2014-08-18, 2015-12-30,6,15,4,6, NA, NA,1,0,0,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,1,1
 bangalore, bangalore central, krishnadevaraya,29618, SHAMBO PALYA (HALE GUDDADAHALLI 2), 2014-08-18, 2015-12-30,8,17, NA, NA, NA, NA,3,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,36586, A.D HALLI (AGHARA DASARA HALLI), 2014-08-18, 2015-12-30,21,21,16,14, NA, NA,3,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,33998, AGRAHARA DASARAHALLI / BRI COLONY, 2014-08-18, 2015-12-30,16,17,14,13, NA, NA,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,30444, AMAR JYOTHI NAGAR, 2014-08-18, 2015-12-30,10,28,8,17, NA, NA,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,34000, BHOVECOLONY, 2014-08-18, 2015-12-30,10,16,5,7, NA, NA,3,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,33999, BHOVEEPALYA, 2014-08-18, 2015-12-30,19,14,10,5, NA, NA,3,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,31202, HOSSAHALLI, 2014-08-18, 2015-12-30,11,15,10,6, NA, NA,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,36651, JEDARAHALLI, 2014-08-18, 2015-12-30,6,8,5,3, NA, NA,3,0,0,0,1,0,0,0,0,2,1,1,1,1,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,30442, KANAKA NAGAR, 2014-08-18, 2015-12-30,19,15,12,10, NA, NA,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,33995, KANTEERAVA COLONY, 2014-08-18, 2015-12-30,16,15,10,8, NA, NA,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,36455, KAVERI PURA, 2014-08-18, 2015-12-30,12,13,11,12, NA, NA,2,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,33996, MAHATMAGANDHINAGAR, 2014-08-18, 2015-12-30,17,20,5,10, NA, NA,3,0,0,1,1,1,1,0,0,2,1,0,1,1,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,34059, MUNESHWARA NAGAR, 2014-08-18, 2015-12-30,19,23,15,16, NA, NA,2,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,36596, PATTEGARA PALYA, 2014-08-18, 2015-12-30,11,27,9,20, NA, NA,2,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,33993, PRAKASHNAGAR, 2014-08-18, 2015-12-30,27,23,13,13, NA, NA,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,31044, PRASHANTHANAGARA, 2014-08-18, 2015-12-30,13,11,5,6, NA, NA,3,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,34078, PRIYA DARSHINI, 2014-08-18, 2015-12-30,14,13,9,3, NA, NA,3,0,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,36466, RAJEEV NAGARA, 2014-08-18, 2015-12-30,31,29,22,21, NA, NA,2,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,36602, RAMACHANDRA PURA II, 2014-08-18, 2015-12-30,10,12,8,10, NA, NA,0,1,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,31295, RAMACHANDRAPURA 1, 2014-08-18, 2015-12-30,14,8,12,6, NA, NA,0,1,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,31089, RPC LAYOUT NEW COLONY, 2014-08-18, 2015-12-30,7,8,7,8, NA, NA,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,30795, SANJAYGANDHI NAGAR, 2014-08-18, 2015-12-30,13,15,8,8,1,0,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,31206, SOUHARDA VRUTTA, 2014-08-18, 2015-12-30,11,13,9,11,0,0,0,0,0,1,1,1,1,1,0,2,1,0,1,1,1,1,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,36483, SREE RAM NAGARA, 2014-08-18, 2015-12-30,28,18,15,17, NA, NA,3,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,33918, THIMMENAHALLI-I, 2014-08-18, 2015-12-30,10,9,9,8, NA, NA,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
 bangalore, bangalore central, kuvempunagar 4th circle,34001, TIMMANAHALLI-II, 2014-08-18, 2015-12-30,7,8,6,7, NA, NA,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,31453, ARUNDHATHINAGAR, 2014-08-18, 2015-12-30,11,7,8,8, NA, NA,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,31138, ASHWATHNAGAR, 2014-08-18, 2015-12-30,11,14,8,7, NA, NA,2,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0,1,0,1,0
 bangalore, bangalore central, manjunatheshwar circle-7,34075, BINNIPETE, 2014-08-18, 2015-12-30,15,19, NA, NA,0,1,3,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,31133, CHOLUR PALYA 6, 2014-08-18, 2015-12-30,10,13, NA, NA, NA, NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,30591, GOPAL PURA I, 2014-08-18, 2015-12-30,16,18,5,6, NA, NA,1,0,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,30988, GOPALAPURA 2, 2014-08-18, 2015-12-30,13,9,4,4, NA, NA,1,0,0,0,0,1,1,1,1,2,0,0,0,1,0,1,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,30596, GOPALPURA 3, 2014-08-18, 2015-12-30,12,17,7,4, NA, NA,3,0,0,1,1,1,0,0,1,2,1,0,0,1,0,0,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,30587, GOPALPURA MAGADI ROAD, 2014-08-18, 2015-12-30,9,22,10,8, NA, NA,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,34050, GORI PALYA SOUTH - 2, 2014-08-18, 2015-12-30,17,22,12,11, NA, NA,3,1,1,0,1,1, NA,1,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,30466, GORIPALYA SOUTH, 2014-08-18, 2015-12-30,23,27,15,10, NA, NA,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,31043, KAMALANEHARU NAGARA, 2014-08-18, 2015-12-30,20,16,6,7, NA, NA,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,31141, KESHVA NAGAR, 2014-08-18, 2015-12-30,20,23,8,7, NA, NA,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0, NA,0,1,0
 bangalore, bangalore central, manjunatheshwar circle-7,30835, LAKSHMANRAO NAGAR, 2014-08-18, 2015-12-30,9,7,4,3, NA, NA,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,30449, MARIYAPPANA PALYA, 2014-08-18, 2015-12-30,12,9,12,7, NA, NA,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,30461, MARIYAPPANAPALYA(KADAPASWAMI MATTA) 2, 2014-08-18, 2015-12-30,11,13,10,8, NA, NA,3,0,0,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,30625, MUSLIM HUTS 2, 2014-08-18, 2015-12-30,11,14, NA, NA, NA, NA,1, NA,0,1,1,1,1,1,1,2,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,36624, Muslim Huts 3, 2014-08-18, 2015-12-30,21,24,10,12, NA, NA,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,31477, NAGAMMA NAGAR, 2014-08-18, 2015-12-30,27,20,13,13, NA, NA,2,0,0,1,1,0,0,0,0,2,1,0,1,1,0,1,1,0,1,0
 bangalore, bangalore central, manjunatheshwar circle-7,30454, NARAYANA RAO COLONY, 2014-08-18, 2015-12-30,12,13,4,4, NA, NA,0,0,0,1,1,1,1,1,0,2,1,0,1,1,0,1,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,31478, NETAJINAGARA 1, 2014-08-18, 2015-12-30,16,34,12,13, NA, NA,1,0,0,1,1,1,1,1,1,2,1,1, NA,1,0,1,1,0,1,0
 bangalore, bangalore central, manjunatheshwar circle-7,30774, OKLIPURA 2, 2014-08-18, 2015-12-30,10,6,3,5, NA, NA,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,30832, OKLIPURA I, 2014-08-18, 2015-12-30,4,9,5,3, NA, NA,0,1,0,1,1,1,0,0,0,2,1,0,1,1,0,1,1,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,34002, OKLIPURA-III, 2014-08-18, 2015-12-30,4,12,5,2, NA, NA,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,31488, PRIYADARSHINI (BHUVANESHWARA NAGAR), 2014-08-18, 2015-12-30,32,18,15,14, NA, NA,3,0,0,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,36628, RAJAJINAGAR, 2014-08-18, 2015-12-30,17,17,2,8, NA, NA,0,1,0,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,33994, RAJAJINAGAR, 2014-08-18, 2015-12-30,23,13,10,4, NA, NA,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,33997, RAMAKRISHNASEVANAGAR, 2014-08-18, 2015-12-30,7,6,4,2, NA, NA, NA,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,36626, RANGANATHA COLONY, 2014-08-18, 2015-12-30,20,25,10,8, NA, NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
 bangalore, bangalore central, manjunatheshwar circle-7,36627, RAYAPURA 9THAMMAYYAPPA PARK), 2014-08-18, 2015-12-30,22,27,14,9, NA, NA,2,0,0,1,1,1,1,0,0,2,1,1,1,1,0,0,1,0,1,0
 bangalore, bangalore central, netaji 2nd circle,31455, AMBEDKAR SEVA SANGA 1 JANATHA COLONY, 2014-08-18, 2015-12-30,2,14,1,11,1, NA,3,1,1,1,1,1,0,0,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,31461, AMBEDKAR SEVA SANGA 2, 2014-08-18, 2015-12-30,9,8,9,8, NA, NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,34087, ARFATH NAGAR WEST, 2014-08-18, 2015-12-30,19,20,15,18, NA, NA,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,34100, AYAPPASEVASANGHA I, 2014-08-18, 2015-12-30,10,12,5,7, NA, NA,2,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,30417, AYYAPPA SEVA SANGA 2, 2014-08-18, 2015-12-30,4,6,4,6, NA, NA,3,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,36475, HALEGUDDADA HALLI (VENKATRAMA NAGAR), 2014-08-18, 2015-12-30,9,16,6,8, NA, NA,3,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,34065, MUSLIM BURIAL GROUND 2, 2014-08-18, 2015-12-30,10,18,6,10, NA, NA,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,34061, NAGARKALU, 2014-08-18, 2015-12-30,22,19,12,13, NA, NA,1,0,0,1,0,0,0,0,0,2,1,0,1,1,0,1,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,30623, NANJAMB AGRAHARA 18, 2014-08-18, 2015-12-30,11,11,7,7, NA, NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,34063, PADARAYANA PURA 2 ND, 2014-08-18, 2015-12-30,14,13,8,7, NA, NA,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,36472, PADARAYANA PURA IV, 2014-08-18, 2015-12-30,14,12,10,10, NA, NA,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,31527, PADARAYANA PURA-3RD, 2014-08-18, 2015-12-30,10,11,10,10, NA, NA,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,30346, PADRAYAN PURA 1, 2014-08-18, 2015-12-30,11,12,4,6, NA, NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,30437, V.S. GARDEN--2, 2014-08-18, 2015-12-30,9,10,7,8, NA, NA,2,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,31516, VEERANJENEYA SEVA SANGHA 1 (JANATHA COLONY), 2014-08-18, 2015-12-30,7,9,7,9,4,8,2,1,1,1,1,1,0,0,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, bangalore central, netaji 2nd circle,31460, VEERANJENEYA SEVA SANGHA 2, 2014-08-18, 2015-12-30,8,9,8,9,0,0,2,1,1,1,1,1,0,0,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, bangalore central, netravathi,30299, APPAJAPPA GARDEN, 2014-08-18, 2015-12-30,11,8,11,8, NA, NA,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 bangalore, bangalore central, netravathi,29607, BADAMAKAAN I, 2014-08-18, 2015-12-30,10,11,5,6, NA, NA,3,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
 bangalore, bangalore central, netravathi,30300, BADAMAKAAN II, 2014-08-18, 2015-12-30,8,8,6,6, NA, NA,3,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
 bangalore, bangalore central, netravathi,30360, BANDIMODE( kalasipalya kote veedhi), 2014-08-18, 2015-12-30,5,5,5,5,0,2,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
 bangalore, bangalore central, netravathi,36599, C.K.C GARDAN(SR NAGAR KALYANI SCHOOL), 2014-08-18, 2015-12-30,8,18,8,7, NA, NA,3,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
 bangalore, bangalore central, netravathi,36493, CHIKKA PETE, 2014-08-18, 2015-12-30,11,14,4,4, NA, NA,3,0,1,1,1,1,1,1,1,2,1, NA,1,1,0,0,0,0,1,1
 bangalore, bangalore central, netravathi,36603, CHIKKAMAVALLI, 2014-08-18, 2015-12-30,18,7,4,4, NA, NA,1,0,0,1,1,1,1,1,1,2,1,1,0,1,0,0,0,0,1,1
 bangalore, bangalore central, netravathi,30350, DRAUPADI DHARMARAYA DEVASTHANA, 2014-08-18, 2015-12-30,5,11,4,10, NA, NA,3,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1
 bangalore, bangalore central, netravathi,29629, HAMEEDKHAN GARDEN, 2014-08-18, 2015-12-30,9,8,6,6, NA, NA,3,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1
 bangalore, bangalore central, netravathi,30327, KUMBARGUNDI, 2014-08-18, 2015-12-30,9,14, NA, NA, NA, NA,3,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1
 bangalore, bangalore central, netravathi,30229, N.S.GARDEN, 2014-08-18, 2015-12-30,9,7,5,6, NA, NA,0,0,0,1,1,1,0,0,0,2,1,0,1,1,0,0,0,0,1,1
 bangalore, bangalore central, netravathi,29611, RAJGOPAL GARDEN, 2014-08-18, 2015-12-30,14,19,10,9, NA, NA,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
 bangalore, bangalore central, netravathi,30241, RAMANNA GARDEN 1, 2014-08-18, 2015-12-30,22,40,12,14, NA, NA,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1,1
 bangalore, bangalore central, netravathi,30275, RAMANNA GARDEN II, 2014-08-18, 2015-12-30,9,14,7,8, NA, NA,3,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1
 bangalore, bangalore central, netravathi,30371, SAMPANGI RAM NAGAR 2, 2014-08-18, 2015-12-30,8,10,10,2, NA, NA,0,1,0,1,1,0,0,0,0,2,1,0,1,1,0,0,0,0,1,1
 bangalore, bangalore central, netravathi,34056, SAMPANGIRAMNAGAR 1, 2014-08-18, 2015-12-30,13,12,10,11, NA, NA,0,1,0,1,1,1,0,0,1,2,1,0,1,1,0,0,0,0,1,1
 bangalore, bangalore central, netravathi,30256, VINOBHANAGER, 2014-08-18, 2015-12-30,21,23,10,15, NA, NA,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
 bangalore, bangalore central, netravathi,30338, Y.M.SHALEY, 2014-08-18, 2015-12-30,29,25, NA, NA, NA, NA,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30627, ANANTH NAGAR, 2014-08-18, 2015-12-30,15,21,16,20, NA, NA,2,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30384, ARFATH NAGAR 2, 2014-08-18, 2015-12-30,21,23,8,17, NA, NA,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30619, ARFATH NAGAR NEW GUDDADAHALLI, 2014-08-18, 2015-12-30,24,23,11,15,1,1,2,0,0,1,1,1,1,1,1,2,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30414, ARUNDATHI NAGAR, 2014-08-18, 2015-12-30,15,38,12,24, NA, NA,2,1,1,1,1,1,0,0,0,2,1,1,0,1,0,1,1,0,1,0
 bangalore, bangalore central, sir m vishweshwariah 1st circle,33975, BAPUJINAGAR 3, 2014-08-18, 2015-12-30,23,28,15,18, NA, NA,1,0,0,1,1,1,0,0,1,2,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30620, BAPUJINAGAR-II, 2014-08-18, 2015-12-30,15,14,4,10, NA, NA,2,0,0,1,1,1,1,1,0,2,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30650, BAPUJINAGARA I, 2014-08-18, 2015-12-30,11,18,5,4, NA, NA,2,0,0,1,1,1,1,0,0,2,1,1,1,1,0,0,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,33978, BYATARAYANAPUR-I, 2014-08-18, 2015-12-30,13,31,5,19, NA, NA,2,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30334, BYATARYAN PURA-II, 2014-08-18, 2015-12-30,25,24,7,17, NA, NA,2,0,0,1,1,1,1,1,0,2,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,33980, CHANDRALAYOUT, 2014-08-18, 2015-12-30,10,16,5,11, NA, NA,2,1,0,1,1,1,1,0,0,2,1,1,1,1,0,1,1,0,1,0
 bangalore, bangalore central, sir m vishweshwariah 1st circle,36462, DEVEGOWDA SLUM, 2014-08-18, 2015-12-30,10,30,5,25, NA, NA,1,0,0,1,0,0,1,1,0,2,1,1,1,1,0,1,1,0,1,0
 bangalore, bangalore central, sir m vishweshwariah 1st circle,31481, F.R.NAGARA 1, 2014-08-18, 2015-12-30,36,25,10,15, NA, NA,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30630, F/A NAGAR 2, 2014-08-18, 2015-12-30,15,16,12,15, NA, NA,1,0,0,1,1,1,1,1,1,2,1,1,0,1,0,1,1,0,1,0
 bangalore, bangalore central, sir m vishweshwariah 1st circle,34035, GANGONDANAHALLI 1, 2014-08-18, 2015-12-30,12,28,10,15, NA, NA,2,0,0,1,1,1,0,0,0,2,1,0,0,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,31418, GANGONDHANAHALLI 2, 2014-08-18, 2015-12-30,17,29,10,12, NA, NA,1,0,0,1,1,1,1,1,0,2,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,31094, JYOTHI NAGAR (DEEPANJALI NAGAR), 2014-08-18, 2015-12-30,32,19,16,13, NA, NA,2,1,1,1,1,1,1,0,0,2,1,0,1,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,33977, KASTURABHANAGAR-I, 2014-08-18, 2015-12-30,25,25,12,8, NA, NA,2,0,1,1,1,0,1,0,0,2,1,1,1,1,0,0,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,31369, KASTURI BA NAGAR-II, 2014-08-18, 2015-12-30,21,31,9,11,1, NA,2,0,0,1,1,0,1,0,0,2,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30533, MARUTHINAGARA, 2014-08-18, 2015-12-30,32,23,8,16, NA, NA,2,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30467, NAYANDANA HALLI-I, 2014-08-18, 2015-12-30,24,29,10,17, NA, NA,2,0,0,1,1,1,0,0,0,2,1,0,1,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,33976, NAYANDANAHALLI-II, 2014-08-18, 2015-12-30,32,28,15,18, NA, NA,1,0,0,1,1,1,1,1,1,2,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30395, NEW TIMBERYARD LAYOUT, 2014-08-18, 2015-12-30,27,21,20,15, NA, NA,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,31092, PANTARA PALYA 2, 2014-08-18, 2015-12-30,11,12,8,6, NA, NA,2,0,0,1,1,1,0,0,0,2,1,1,1,1,1,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30433, PANTHAR PALYA-I, 2014-08-18, 2015-12-30,8,11,5,8, NA, NA,2,1,0,1,1,1,1,0,0,2,1,0,1,1,1,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,31404, ROUSHAN NAGAR, 2014-08-18, 2015-12-30,24,20,13,12, NA, NA,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30427, SANJAYNAGAR 1, 2014-08-18, 2015-12-30,17,14,10,8, NA, NA,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,30432, SANJAYNAGAR 2, 2014-08-18, 2015-12-30,18,14,10,10, NA, NA,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, bangalore central, sir m vishweshwariah 1st circle,31417, SHAMANNA GARDAN, 2014-08-18, 2015-12-30,17,26,8,7, NA, NA,1,0,0,1,1,1,0,0,0,2,1,1,0,1,0,1,1,0,1,1
